pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked
1,1,female,29.0,0,0,211.3375,B5,S
1,1,male,0.9167,1,2,151.55,C22,S
1,0,female,2.0,1,2,151.55,C22,S
1,0,male,30.0,1,2,151.55,C22,S
1,0,female,25.0,1,2,151.55,C22,S
1,1,male,48.0,0,0,26.55,E12,S
1,1,female,63.0,1,0,77.9583,D7,S
1,0,male,39.0,0,0,0,A36,S
1,1,female,53.0,2,0,51.4792,C101,S
1,0,male,71.0,0,0,49.5042,N,C
1,0,male,47.0,1,0,227.525,C62,C
1,1,female,18.0,1,0,227.525,C62,C
1,1,female,24.0,0,0,69.3,B35,C
1,1,female,26.0,0,0,78.85,N,S
1,1,male,80.0,0,0,30,A23,S
1,0,male,29.813199137104508,0,0,25.925,N,S
1,0,male,24.0,0,1,247.5208,B58,C
1,1,female,50.0,0,1,247.5208,B58,C
1,1,female,32.0,0,0,76.2917,D15,C
1,0,male,36.0,0,0,75.2417,C6,C
1,1,male,37.0,1,1,52.5542,D35,S
1,1,female,47.0,1,1,52.5542,D35,S
1,1,male,26.0,0,0,30,C148,C
1,1,female,42.0,0,0,227.525,N,C
1,1,female,29.0,0,0,221.7792,C97,S
1,0,male,25.0,0,0,26,N,C
1,1,male,25.0,1,0,91.0792,B49,C
1,1,female,19.0,1,0,91.0792,B49,C
1,1,female,35.0,0,0,135.6333,C99,S
1,1,male,28.0,0,0,26.55,C52,S
1,0,male,45.0,0,0,35.5,T,S
1,1,male,40.0,0,0,31,A31,C
1,1,female,30.0,0,0,164.8667,C7,S
1,1,female,58.0,0,0,26.55,C103,S
1,0,male,42.0,0,0,26.55,D22,S
1,1,female,45.0,0,0,262.375,N,C
1,1,female,22.0,0,1,55,E33,S
1,1,male,29.813199137104508,0,0,26.55,N,S
1,0,male,41.0,0,0,30.5,A21,S
1,0,male,48.0,0,0,50.4958,B10,C
1,0,male,29.813199137104508,0,0,39.6,N,C
1,1,female,44.0,0,0,27.7208,B4,C
1,1,female,59.0,2,0,51.4792,C101,S
1,1,female,60.0,0,0,76.2917,D15,C
1,1,female,41.0,0,0,134.5,E40,C
1,0,male,45.0,0,0,26.55,B38,S
1,0,male,29.813199137104508,0,0,31,N,S
1,1,male,42.0,0,0,26.2875,E24,S
1,1,female,53.0,0,0,27.4458,N,C
1,1,male,36.0,0,1,512.3292,B51,C
1,1,female,58.0,0,1,512.3292,B51,C
1,0,male,33.0,0,0,5,B51,S
1,0,male,28.0,0,0,47.1,N,S
1,0,male,17.0,0,0,47.1,N,S
1,1,male,11.0,1,2,120,B96,S
1,1,female,14.0,1,2,120,B96,S
1,1,male,36.0,1,2,120,B96,S
1,1,female,36.0,1,2,120,B96,S
1,0,male,49.0,0,0,26,N,S
1,1,female,29.813199137104508,0,0,27.7208,N,C
1,0,male,36.0,1,0,78.85,C46,S
1,1,female,76.0,1,0,78.85,C46,S
1,0,male,46.0,1,0,61.175,E31,S
1,1,female,47.0,1,0,61.175,E31,S
1,1,male,27.0,1,0,53.1,E8,S
1,1,female,33.0,1,0,53.1,E8,S
1,1,female,36.0,0,0,262.375,B61,C
1,1,female,30.0,0,0,86.5,B77,S
1,1,male,45.0,0,0,29.7,A9,C
1,1,female,29.813199137104508,0,1,55,E33,S
1,0,male,29.813199137104508,0,0,0,N,S
1,0,male,27.0,1,0,136.7792,C89,C
1,1,female,26.0,1,0,136.7792,C89,C
1,1,female,22.0,0,0,151.55,N,S
1,0,male,29.813199137104508,0,0,52,A14,S
1,0,male,47.0,0,0,25.5875,E58,S
1,1,female,39.0,1,1,83.1583,E49,C
1,0,male,37.0,1,1,83.1583,E52,C
1,1,female,64.0,0,2,83.1583,E45,C
1,1,female,55.0,2,0,25.7,C101,S
1,0,male,29.813199137104508,0,0,26.55,N,S
1,0,male,70.0,1,1,71,B22,S
1,1,female,36.0,0,2,71,B22,S
1,1,female,64.0,1,1,26.55,B26,S
1,0,male,39.0,1,0,71.2833,C85,C
